Experiment,rev,typ,Created,parent,State,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,wf.day_clip,general.timeframe,general.performance.stat,general.curr.tf.min.int,general.data.wip.path,master\data-raw\data_test_20180101_20190630.csv,master\data-raw\data_test_20180101_20190930.csv,master\data-raw\data_unseen_20191001_20210920.csv,master\data-raw\train_300klines.csv,master\data-raw\train_3mln.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\02_downsampled.rds,master\data-wip\03_precalculated.rds,master\data-wip\04_positions.rds,master\data-wip\05_pnl.rds,master\data-wip\06_wf_indexes.rds,master\data-wip\07_wf_metrics.rds,master\data-wip\0\60\02_downsampled.rds,master\data-wip\0\60\03_precalculated.rds,master\data-wip\0\60\04_positions.rds,master\data-wip\0\60\05_pnl.rds,master\data-wip\0\60\06_wf_indexes.rds,master\data-wip\0\60\07_wf_metrics.rds,master\data-wip\0\60\08_wf_best_params.rds,master\data-wip\1\10\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\15\02_downsampled.rds,master\data-wip\1\15\03_precalculated.rds,master\data-wip\1\15\04_positions.rds,master\data-wip\1\15\05_pnl.rds,master\data-wip\1\15\06_wf_indexes.rds,master\data-wip\1\15\07_wf_metrics.rds,master\data-wip\1\15\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\20\02_downsampled.rds,master\data-wip\1\20\03_precalculated.rds,master\data-wip\1\20\04_positions.rds,master\data-wip\1\20\05_pnl.rds,master\data-wip\1\20\06_wf_indexes.rds,master\data-wip\1\20\07_wf_metrics.rds,master\data-wip\1\20\08_wf_best_params.rds,master\data-wip\1\2\01_converted_to_xts.rds,master\data-wip\1\2\02_downsampled.rds,master\data-wip\1\2\03_precalculated.rds,master\data-wip\1\2\04_positions.rds,master\data-wip\1\2\05_pnl.rds,master\data-wip\1\2\06_wf_indexes.rds,master\data-wip\1\2\07_wf_metrics.rds,master\data-wip\1\2\08_wf_best_params.rds,master\data-wip\1\30\02_downsampled.rds,master\data-wip\1\30\03_precalculated.rds,master\data-wip\1\30\04_positions.rds,master\data-wip\1\30\05_pnl.rds,master\data-wip\1\30\06_wf_indexes.rds,master\data-wip\1\30\07_wf_metrics.rds,master\data-wip\1\30\08_wf_best_params.rds,master\data-wip\1\3\02_downsampled.rds,master\data-wip\1\3\03_precalculated.rds,master\data-wip\1\3\04_positions.rds,master\data-wip\1\3\05_pnl.rds,master\data-wip\1\3\06_wf_indexes.rds,master\data-wip\1\3\07_wf_metrics.rds,master\data-wip\1\3\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\data-wip\1\7\02_downsampled.rds,master\data-wip\1\7\03_precalculated.rds,master\data-wip\1\7\04_positions.rds,master\data-wip\1\7\05_pnl.rds,master\data-wip\1\7\06_wf_indexes.rds,master\data-wip\1\7\07_wf_metrics.rds,master\data-wip\1\7\08_wf_best_params.rds,master\data-wip\6\60\02_downsampled.rds,master\data-wip\6\60\03_precalculated.rds,master\data-wip\6\60\04_positions.rds,master\data-wip\6\60\05_pnl.rds,master\data-wip\6\60\06_wf_indexes.rds,master\data-wip\6\60\07_wf_metrics.rds,master\data-wip\6\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.R,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\09_wf_eval_test.r,master\rcode\logic\.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
,workspace,baseline,,,,1.252376,0.00809,4.6217638,1.7989985,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,1.0748383,0.00875,2.1608575,1.5315934,start 2018-01-16 07:59:00,end 2019-09-24 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,b77795e6add1e7998c5daef8fcf05fea,0cc2c30b600c75e87eeda94c0bf18152,a3d844e435080d1608becb7e2eb2310d,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,data_unseen,baseline,2025-12-15T22:27:52,,,1.252376,0.00809,4.6217638,1.7989985,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,1.0748383,0.00875,2.1608575,1.5315934,start 2018-01-16 07:59:00,end 2019-09-24 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636096579e87adbadd84130ee17edb46,c0eda3ee2ee9e7b51927dae13658ef2c,8ff92e13f904e863be5273195993d823,3d7fb0bb286c58aa76a0a8b704d1468e,b77795e6add1e7998c5daef8fcf05fea,0cc2c30b600c75e87eeda94c0bf18152,a3d844e435080d1608becb7e2eb2310d,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,8a4eb5f,baseline,2024-02-05T20:56:03,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,815b1fa,baseline,2024-01-23T20:41:25,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
varus-puck,096b085,branch_commit,2024-01-23T20:48:24,,,1.1981572,0.0125113,2.6564677,1.7849741,start 2019-11-07 00:59:00,end 2021-08-22 23:59:00,1.2357611,0.0124166,2.9543138,1.8491213,start 2019-10-23 06:59:00,end 2021-09-12 05:59:00,0,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,10,37,30,,,,,,,,e28d02b987e969f4423f60ff350f4a4f,,,3bd0883b7248ee5d98d0c00208ba102c,,,,,,,2fe40ff03b93ba06b6d211ab609a3cf6,15871765631854a6ad4b22e29c04120d,9cf5dd8145f46aa48db842e59f6a824a,f3acbe4a66fa48759ed16b20625f8db7,23a5a3fdcd3a5a8dc991dd2f5a57cca8,606185da03f5ab59753397a658cf8fa7,6d1cf7527cdf2a99c0c55a4fc72e8b76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
telic-ions,20c1e53,branch_base,2024-01-23T20:47:18,,,1.0996773,0.0125134,1.8793157,1.6298085,start 2019-11-07 00:59:00,end 2021-08-22 23:59:00,0.8913088,0.0123629,1.3035469,1.3248135,start 2019-10-16 06:59:00,end 2021-09-15 05:59:00,0,60,sharpe,./master/data-wip,master/data-raw/data_unseen_20191001_20210920.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,,,,,,,,e28d02b987e969f4423f60ff350f4a4f,,,3bd0883b7248ee5d98d0c00208ba102c,,,,,,,2fe40ff03b93ba06b6d211ab609a3cf6,15871765631854a6ad4b22e29c04120d,9cf5dd8145f46aa48db842e59f6a824a,f3acbe4a66fa48759ed16b20625f8db7,699c63c6b8f95b7d9d5d098cfdbdbadf,d95266bdf8c17fd2617fa7906ee0c7ed,717a0b7a7ff867427db9b8c89460b3be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,84f0b4a,baseline,2024-01-23T20:25:15,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
roily-funs,b4492cc,branch_commit,2024-01-23T20:32:14,,,-0.584096,0.0113315,-0.4158241,-0.8033292,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,-0.3230743,0.0119002,-0.1172796,-0.4428288,start 2018-01-23 07:59:00,end 2019-09-25 06:59:00,0,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,10,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,997425045bc97db52ea199757e971377,aa49753a4698a993167f41d2a287506b,05f0797557a19b66503ad7598ab62616,95ac48d427e8572b682f1a7fe9b3fd07,6b9f6136104803833ec6e69c2738ea1a,dc9960fa6e1a73b34c7f17bebe84aa30,a8bf9c7e3dd7045e3243d03ec65b7546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
enate-sash,4f8742c,branch_base,2024-01-23T20:31:03,,,-0.0731202,0.0113311,-0.0081249,-0.1015083,start 2018-02-08 00:59:00,end 2019-09-01 23:59:00,0.0558976,0.0127334,0.0040231,0.0770718,start 2018-01-16 07:59:00,end 2019-09-24 06:59:00,0,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,37,30,,,,,,,a0274a73bfe042de8649f94190dfaaa6,,,,b4b61b05b1df7f1497426998966033ac,,,,,,,997425045bc97db52ea199757e971377,aa49753a4698a993167f41d2a287506b,05f0797557a19b66503ad7598ab62616,95ac48d427e8572b682f1a7fe9b3fd07,b77795e6add1e7998c5daef8fcf05fea,d3130f432b080008e517995fdcaa14d4,0c4d53165ddcf88bddfeb417a416e30c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
,109cfa1,baseline,2024-01-05T15:04:37,,,0.8368425,0.0077472,1.2114507,1.1937264,start 2018-02-08 00:59:00,end 2019-06-01 23:59:00,0.5708563,0.0084134,0.6367312,0.8048618,start 2018-01-19 07:59:00,end 2019-06-07 06:59:00,1,60,sharpe,./master/data-wip,master/data-raw/data_test_20180101_20190930.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,37,30,,,,,,,,,,,63da8fa68e81f8afef622a05846e7f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d5700dc71790987c3f80aa93cb67a16,3310723b4e1845e104cde447a91a8ab1,32c540309dc8d25a7a0bad6e9fa48dad,8ebe6e57e3670d0726b2a1fc09db0026,1a079d50f9a5a639a7683c232f3c6fa1,c5b79717ff1d1bef8857a6083c446783,efb635a65e2d1bde1f367dc3b36ed625,,,,,,,,,,,,,,,,7234b769b0406eba54b493d221b76a1d,c50086c14e6cf330f06128d537e7aa36,,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,,fd7bb4e82f332ef272f63ffdf495ace7,,549f5922b9ff99ab7c4a8e4ded46fef7,803dea85bc63eed422a48d86e3d27575,b8af715d2f84a4c64c13d9beecd36750,74913fb30fe667030d2f26c329ef48ec,7193868d42cf8a3484c71708be3f97c9,c8d1c328f00399577ab3b3629ec90249
